Frase,Tipo,Cantidad,Moneda,Categoria,Cuenta,Accion,TipoCambio,CantidadConvertida,TipoReporte,PeriodoPreset,PeriodoFrom,PeriodoTo,CategoriasFiltro,CuentasFiltro,MontoMin,MontoMax,TextoFiltro,Mensaje
Pague 27 por transporte del dia 1,gasto,27,USD,transport,,add_expense,1.0,27,,,,,,,,,,
Spent 34 on groceries day 2,gasto,34,USD,groceries,debit,add_expense,1.0,34,,,,,,,,,,
Paid 41 for rent payment 3,gasto,41,USD,rent,checking,add_expense,1.0,41,,,,,,,,,,
Compre 48 en farmacia del dia 4,gasto,48,USD,health,,add_expense,1.0,48,,,,,,,,,,
I spent 55 on utilities bill 5,gasto,55,USD,utilities,credit card,add_expense,1.0,55,,,,,,,,,,
Me queme 62 en entretenimiento 6,gasto,62,USD,entertainment,,add_expense,1.0,62,,,,,,,,,,
Bought 69 in clothing purchase 7,gasto,69,USD,clothing,,add_expense,1.0,69,,,,,,,,,,
Gaste 76 en comida del dia 8,gasto,76,USD,food,,add_expense,1.0,76,,,,,,,,,,
Pague 83 por transporte del dia 9,gasto,83,USD,transport,,add_expense,1.0,83,,,,,,,,,,
Spent 90 on groceries day 10,gasto,90,USD,groceries,debit,add_expense,1.0,90,,,,,,,,,,
Paid 97 for rent payment 11,gasto,97,USD,rent,checking,add_expense,1.0,97,,,,,,,,,,
Compre 104 en farmacia del dia 12,gasto,104,USD,health,,add_expense,1.0,104,,,,,,,,,,
I spent 111 on utilities bill 13,gasto,111,USD,utilities,credit card,add_expense,1.0,111,,,,,,,,,,
Me queme 118 en entretenimiento 14,gasto,118,USD,entertainment,,add_expense,1.0,118,,,,,,,,,,
Bought 125 in clothing purchase 15,gasto,125,USD,clothing,,add_expense,1.0,125,,,,,,,,,,
Gaste 132 en comida del dia 16,gasto,132,USD,food,,add_expense,1.0,132,,,,,,,,,,
Pague 139 por transporte del dia 17,gasto,139,USD,transport,,add_expense,1.0,139,,,,,,,,,,
Spent 146 on groceries day 18,gasto,146,USD,groceries,debit,add_expense,1.0,146,,,,,,,,,,
Paid 153 for rent payment 19,gasto,153,USD,rent,checking,add_expense,1.0,153,,,,,,,,,,
Compre 160 en farmacia del dia 20,gasto,160,USD,health,,add_expense,1.0,160,,,,,,,,,,
I spent 167 on utilities bill 21,gasto,167,USD,utilities,credit card,add_expense,1.0,167,,,,,,,,,,
Me queme 174 en entretenimiento 22,gasto,174,USD,entertainment,,add_expense,1.0,174,,,,,,,,,,
Bought 181 in clothing purchase 23,gasto,181,USD,clothing,,add_expense,1.0,181,,,,,,,,,,
Gaste 188 en comida del dia 24,gasto,188,USD,food,,add_expense,1.0,188,,,,,,,,,,
Pague 195 por transporte del dia 25,gasto,195,USD,transport,,add_expense,1.0,195,,,,,,,,,,
Spent 202 on groceries day 26,gasto,202,USD,groceries,debit,add_expense,1.0,202,,,,,,,,,,
Paid 209 for rent payment 27,gasto,209,USD,rent,checking,add_expense,1.0,209,,,,,,,,,,
Compre 216 en farmacia del dia 28,gasto,216,USD,health,,add_expense,1.0,216,,,,,,,,,,
I spent 223 on utilities bill 29,gasto,223,USD,utilities,credit card,add_expense,1.0,223,,,,,,,,,,
Me queme 230 en entretenimiento 30,gasto,230,USD,entertainment,,add_expense,1.0,230,,,,,,,,,,
Bought 237 in clothing purchase 31,gasto,237,USD,clothing,,add_expense,1.0,237,,,,,,,,,,
Gaste 244 en comida del dia 32,gasto,244,USD,food,,add_expense,1.0,244,,,,,,,,,,
Pague 251 por transporte del dia 33,gasto,251,USD,transport,,add_expense,1.0,251,,,,,,,,,,
Spent 258 on groceries day 34,gasto,258,USD,groceries,debit,add_expense,1.0,258,,,,,,,,,,
Paid 265 for rent payment 35,gasto,265,USD,rent,checking,add_expense,1.0,265,,,,,,,,,,
Compre 272 en farmacia del dia 36,gasto,272,USD,health,,add_expense,1.0,272,,,,,,,,,,
I spent 279 on utilities bill 37,gasto,279,USD,utilities,credit card,add_expense,1.0,279,,,,,,,,,,
Me queme 286 en entretenimiento 38,gasto,286,USD,entertainment,,add_expense,1.0,286,,,,,,,,,,
Bought 293 in clothing purchase 39,gasto,293,USD,clothing,,add_expense,1.0,293,,,,,,,,,,
Gaste 300 en comida del dia 40,gasto,300,USD,food,,add_expense,1.0,300,,,,,,,,,,
Pague 307 por transporte del dia 41,gasto,307,USD,transport,,add_expense,1.0,307,,,,,,,,,,
Spent 314 on groceries day 42,gasto,314,USD,groceries,debit,add_expense,1.0,314,,,,,,,,,,
Paid 321 for rent payment 43,gasto,321,USD,rent,checking,add_expense,1.0,321,,,,,,,,,,
Compre 328 en farmacia del dia 44,gasto,328,USD,health,,add_expense,1.0,328,,,,,,,,,,
I spent 335 on utilities bill 45,gasto,335,USD,utilities,credit card,add_expense,1.0,335,,,,,,,,,,
Me queme 342 en entretenimiento 46,gasto,342,USD,entertainment,,add_expense,1.0,342,,,,,,,,,,
Bought 349 in clothing purchase 47,gasto,349,USD,clothing,,add_expense,1.0,349,,,,,,,,,,
Gaste 356 en comida del dia 48,gasto,356,USD,food,,add_expense,1.0,356,,,,,,,,,,
Pague 363 por transporte del dia 49,gasto,363,USD,transport,,add_expense,1.0,363,,,,,,,,,,
Spent 370 on groceries day 50,gasto,370,USD,groceries,debit,add_expense,1.0,370,,,,,,,,,,
Paid 377 for rent payment 51,gasto,377,USD,rent,checking,add_expense,1.0,377,,,,,,,,,,
Compre 384 en farmacia del dia 52,gasto,384,USD,health,,add_expense,1.0,384,,,,,,,,,,
I spent 391 on utilities bill 53,gasto,391,USD,utilities,credit card,add_expense,1.0,391,,,,,,,,,,
Me queme 398 en entretenimiento 54,gasto,398,USD,entertainment,,add_expense,1.0,398,,,,,,,,,,
Bought 405 in clothing purchase 55,gasto,405,USD,clothing,,add_expense,1.0,405,,,,,,,,,,
Gaste 412 en comida del dia 56,gasto,412,USD,food,,add_expense,1.0,412,,,,,,,,,,
Pague 419 por transporte del dia 57,gasto,419,USD,transport,,add_expense,1.0,419,,,,,,,,,,
Spent 426 on groceries day 58,gasto,426,USD,groceries,debit,add_expense,1.0,426,,,,,,,,,,
Paid 433 for rent payment 59,gasto,433,USD,rent,checking,add_expense,1.0,433,,,,,,,,,,
Compre 440 en farmacia del dia 60,gasto,440,USD,health,,add_expense,1.0,440,,,,,,,,,,
I spent 447 on utilities bill 61,gasto,447,USD,utilities,credit card,add_expense,1.0,447,,,,,,,,,,
